model_id,fold,scope,seed,target_class,base_id,input_class,coefficient
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b15_ctx8,alto,-0.0075579958709071264
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b16_ctx1,bajo,-0.001271167491055703
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b16_ctx1,medio,0.013775322159353781
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b16_ctx1,alto,-0.013072860901204556
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b16_ctx8,bajo,0.015640806165471522
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b16_ctx8,medio,-0.016933602552281195
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b16_ctx8,alto,-0.0016974493255324649
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b17_ctx1,bajo,0.009967296334968932
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b17_ctx1,medio,0.018603626805850402
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b17_ctx1,alto,-0.03157400944431004
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b17_ctx8,bajo,0.008921961199467289
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b17_ctx8,medio,-0.008645835596300814
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b17_ctx8,alto,-0.001962780849719575
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b18_ctx1,bajo,0.014547641432632001
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b18_ctx1,medio,0.01875969093958331
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b18_ctx1,alto,-0.03749618953811799
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b18_ctx8,bajo,0.00998880628601331
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b18_ctx8,medio,-0.010262266679714678
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b18_ctx8,alto,-0.0017411133451317147
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b19_ctx1,bajo,-0.0009271980788810524
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b19_ctx1,medio,0.00041555340764750466
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b19_ctx1,alto,0.000858592622914438
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b19_ctx8,bajo,0.035040410592211337
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b19_ctx8,medio,-0.03316582009819473
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b19_ctx8,alto,-0.008541991999331483
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b20_ctx1,bajo,-0.007151060948745948
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b20_ctx1,medio,-0.014541090610728407
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b20_ctx1,alto,0.03167467822849516
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b20_ctx8,bajo,0.021077811738897567
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b20_ctx8,medio,-0.02364486691904934
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b20_ctx8,alto,-0.00011343956283797671
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b21_ctx1,bajo,-0.031121330543092816
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b21_ctx1,medio,-0.006649877241402939
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b21_ctx1,alto,0.06622748648947731
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b21_ctx8,bajo,-0.04184845694777517
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b21_ctx8,medio,0.019120546037187984
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,bajo,b21_ctx8,alto,0.027619631305776337
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,medio,b15_ctx1,bajo,-0.007627738614619398
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,medio,b15_ctx1,medio,0.020068545511256662
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,medio,b15_ctx1,alto,-0.013976503829114912
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,medio,b15_ctx8,bajo,-0.02534498800418442
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,medio,b15_ctx8,medio,0.02081237995242979
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,medio,b15_ctx8,alto,0.008614412986407536
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,medio,b16_ctx1,bajo,0.0018000847340855798
fold1_stack_global_C0.001_20260911,1,stack_global_C0.001,20260911,medio,b16_ctx1,medio,0.0020508618188695687
