fold,inner,candidate_id,family,score
1,2,lda_h0.25_mean_s1,lda,0.3423802901789413
1,2,lda_h0.25_mean_s4,lda,0.3349754072935853
1,2,lda_h0.25_geometric_s1,lda,0.3430032681228499
1,2,lda_h0.25_geometric_s4,lda,0.33644669143145595
1,2,lda_h0.5_mean_s1,lda,0.34523842859793974
1,2,lda_h0.5_mean_s4,lda,0.3343546991806341
1,2,lda_h0.5_geometric_s1,lda,0.34464265469683086
1,2,lda_h0.5_geometric_s4,lda,0.3359720487324623
1,2,lda_h0.75_mean_s1,lda,0.34818722591707313
1,2,lda_h0.75_mean_s4,lda,0.33864595156678284
1,2,lda_h0.75_geometric_s1,lda,0.34866467243103355
1,2,lda_h0.75_geometric_s4,lda,0.33891528601373067
1,2,lda_h1.0_mean_s1,lda,0.3456060764825866
1,2,lda_h1.0_mean_s4,lda,0.34256646717029554
1,2,lda_h1.0_geometric_s1,lda,0.3457168706505379
1,2,lda_h1.0_geometric_s4,lda,0.34239274147464666
1,3,both_h0.0_mean_s1,both,0.3515955827365725
1,3,both_h0.0_mean_s4,both,0.35183683677412864
1,3,both_h0.0_geometric_s1,both,0.35126964090130397
1,3,both_h0.0_geometric_s4,both,0.3512451306485845
1,3,both_h0.25_mean_s1,both,0.340177131483718
1,3,both_h0.25_mean_s4,both,0.3200324074668494
1,3,both_h0.25_geometric_s1,both,0.3396530100181745
1,3,both_h0.25_geometric_s4,both,0.31996093861459235
1,3,both_h0.5_mean_s1,both,0.3372218993857841
1,3,both_h0.5_mean_s4,both,0.30826689428658055
1,3,both_h0.5_geometric_s1,both,0.33635188551296213
1,3,both_h0.5_geometric_s4,both,0.30914374776834613
1,3,both_h0.75_mean_s1,both,0.333868829318849
1,3,both_h0.75_mean_s4,both,0.31357644303598725
1,3,both_h0.75_geometric_s1,both,0.3317427930567579
1,3,both_h0.75_geometric_s4,both,0.31353097193826646
1,3,both_h1.0_mean_s1,both,0.3386890814360388
1,3,both_h1.0_mean_s4,both,0.31252720545138396
1,3,both_h1.0_geometric_s1,both,0.33963431474506667
1,3,both_h1.0_geometric_s4,both,0.3129196544207132
1,3,logistic_h0.0_mean_s1,logistic,0.34652441267708894
1,3,logistic_h0.0_mean_s4,logistic,0.34484587076559964
1,3,logistic_h0.0_geometric_s1,logistic,0.34652441267708894
1,3,logistic_h0.0_geometric_s4,logistic,0.34484587076559964
1,3,logistic_h0.25_mean_s1,logistic,0.3409050897557221
1,3,logistic_h0.25_mean_s4,logistic,0.31719227109963155
1,3,logistic_h0.25_geometric_s1,logistic,0.3422818707491504
1,3,logistic_h0.25_geometric_s4,logistic,0.31736214273026486
1,3,logistic_h0.5_mean_s1,logistic,0.3292320120497905
1,3,logistic_h0.5_mean_s4,logistic,0.30680411456433987
1,3,logistic_h0.5_geometric_s1,logistic,0.3289348662339915
1,3,logistic_h0.5_geometric_s4,logistic,0.3077441045153561
1,3,logistic_h0.75_mean_s1,logistic,0.33012208622444283
1,3,logistic_h0.75_mean_s4,logistic,0.30775596592286464
1,3,logistic_h0.75_geometric_s1,logistic,0.3296131137059725
1,3,logistic_h0.75_geometric_s4,logistic,0.3074003562573838
1,3,logistic_h1.0_mean_s1,logistic,0.32801695818462967
1,3,logistic_h1.0_mean_s4,logistic,0.30338007461130967
1,3,logistic_h1.0_geometric_s1,logistic,0.32801695818462967
1,3,logistic_h1.0_geometric_s4,logistic,0.3027848365160716
1,3,lda_h0.0_mean_s1,lda,0.3575756664529149
1,3,lda_h0.0_mean_s4,lda,0.3536550983377482
1,3,lda_h0.0_geometric_s1,lda,0.35816898709620254
1,3,lda_h0.0_geometric_s4,lda,0.35431781455535766
1,3,lda_h0.25_mean_s1,lda,0.347059623432048
1,3,lda_h0.25_mean_s4,lda,0.3235876712173296
1,3,lda_h0.25_geometric_s1,lda,0.3473113598037779
1,3,lda_h0.25_geometric_s4,lda,0.32309572758463834
1,3,lda_h0.5_mean_s1,lda,0.34624360942449384
1,3,lda_h0.5_mean_s4,lda,0.31423718355280456
1,3,lda_h0.5_geometric_s1,lda,0.3450394122466843
1,3,lda_h0.5_geometric_s4,lda,0.3142088908611251
1,3,lda_h0.75_mean_s1,lda,0.34246797624008496
1,3,lda_h0.75_mean_s4,lda,0.3115884615088667
1,3,lda_h0.75_geometric_s1,lda,0.3421301399561461
1,3,lda_h0.75_geometric_s4,lda,0.3105511778737669
1,3,lda_h1.0_mean_s1,lda,0.34321322646961777
1,3,lda_h1.0_mean_s4,lda,0.3171758215843401
1,3,lda_h1.0_geometric_s1,lda,0.3431563188470842
1,3,lda_h1.0_geometric_s4,lda,0.3166522788339067
2,1,both_h0.0_mean_s1,both,0.33922111935379917
2,1,both_h0.0_mean_s4,both,0.34434316232253226
2,1,both_h0.0_geometric_s1,both,0.33944896168690464
2,1,both_h0.0_geometric_s4,both,0.34509118095506225
2,1,both_h0.25_mean_s1,both,0.34195434131301466
2,1,both_h0.25_mean_s4,both,0.3415486688590635
2,1,both_h0.25_geometric_s1,both,0.33978512763030116
2,1,both_h0.25_geometric_s4,both,0.3411480804880945
2,1,both_h0.5_mean_s1,both,0.3427884376213325
2,1,both_h0.5_mean_s4,both,0.3407169907539768
2,1,both_h0.5_geometric_s1,both,0.3430891328813609
2,1,both_h0.5_geometric_s4,both,0.34016473398013114
2,1,both_h0.75_mean_s1,both,0.3409990077731022
2,1,both_h0.75_mean_s4,both,0.33748149659365023
2,1,both_h0.75_geometric_s1,both,0.34009697919288195
2,1,both_h0.75_geometric_s4,both,0.33741029523376204
2,1,both_h1.0_mean_s1,both,0.3403986881099367
2,1,both_h1.0_mean_s4,both,0.33578187412231303
2,1,both_h1.0_geometric_s1,both,0.3413850929840013
2,1,both_h1.0_geometric_s4,both,0.3368940050222924
2,1,logistic_h0.0_mean_s1,logistic,0.34309236630944806
2,1,logistic_h0.0_mean_s4,logistic,0.3564352069368444
2,1,logistic_h0.0_geometric_s1,logistic,0.34309236630944806
2,1,logistic_h0.0_geometric_s4,logistic,0.3564352069368444
2,1,logistic_h0.25_mean_s1,logistic,0.3465398279468691
2,1,logistic_h0.25_mean_s4,logistic,0.3532462108492118
2,1,logistic_h0.25_geometric_s1,logistic,0.34603037683436194
2,1,logistic_h0.25_geometric_s4,logistic,0.35346426643994105
2,1,logistic_h0.5_mean_s1,logistic,0.3474569352767592
2,1,logistic_h0.5_mean_s4,logistic,0.3540104231188339
2,1,logistic_h0.5_geometric_s1,logistic,0.34704905764424254
2,1,logistic_h0.5_geometric_s4,logistic,0.3536034092431378
2,1,logistic_h0.75_mean_s1,logistic,0.34663553918006
2,1,logistic_h0.75_mean_s4,logistic,0.356202200199145
2,1,logistic_h0.75_geometric_s1,logistic,0.3465387160864753
2,1,logistic_h0.75_geometric_s4,logistic,0.35668991073712303
2,1,logistic_h1.0_mean_s1,logistic,0.3487569419563488
2,1,logistic_h1.0_mean_s4,logistic,0.35222063277848825
2,1,logistic_h1.0_geometric_s1,logistic,0.34792624710530895
2,1,logistic_h1.0_geometric_s4,logistic,0.35172231968397877
2,1,lda_h0.0_mean_s1,lda,0.33155862524417257
2,1,lda_h0.0_mean_s4,lda,0.3352858653973907
2,1,lda_h0.0_geometric_s1,lda,0.3315202342532584
2,1,lda_h0.0_geometric_s4,lda,0.3355659774422086
2,1,lda_h0.25_mean_s1,lda,0.33393748572478554
2,1,lda_h0.25_mean_s4,lda,0.32757639696352503
2,1,lda_h0.25_geometric_s1,lda,0.33470058672319086
2,1,lda_h0.25_geometric_s4,lda,0.3275184234676977
2,1,lda_h0.5_mean_s1,lda,0.33270855148822964
2,1,lda_h0.5_mean_s4,lda,0.326598900280395
2,1,lda_h0.5_geometric_s1,lda,0.33212697954769077
2,1,lda_h0.5_geometric_s4,lda,0.32804931301841045
2,1,lda_h0.75_mean_s1,lda,0.3347768878891462
2,1,lda_h0.75_mean_s4,lda,0.32465870049831136
2,1,lda_h0.75_geometric_s1,lda,0.3337266846954903
2,1,lda_h0.75_geometric_s4,lda,0.3242112025872766
2,1,lda_h1.0_mean_s1,lda,0.33393843089833347
2,1,lda_h1.0_mean_s4,lda,0.32328433089321623
2,1,lda_h1.0_geometric_s1,lda,0.33518577622999873
2,1,lda_h1.0_geometric_s4,lda,0.32433216087792327
2,2,both_h0.0_mean_s1,both,0.337448222301129
2,2,both_h0.0_mean_s4,both,0.34549919977560434
2,2,both_h0.0_geometric_s1,both,0.3378126537880094
2,2,both_h0.0_geometric_s4,both,0.34495763715204114
2,2,both_h0.25_mean_s1,both,0.3510486835722747
2,2,both_h0.25_mean_s4,both,0.3554125931641937
2,2,both_h0.25_geometric_s1,both,0.34956626046991984
