constant,macro_score,rows,participants,balanced_accuracy,macro_f1
bajo,0.3466666666666666,13524,25,0.3333333333333333,0.1803405433590449
medio,0.30666666666666664,13524,25,0.3333333333333333,0.1560765658624986
alto,0.3466666666666666,13524,25,0.3333333333333333,0.1629513753096076
