scope,macro_score,balanced_accuracy,macro_f1
pool_fixed_history,0.3662708524046559,0.36616462444399006,0.3658365105206684
pool_fixed_multiscale,0.36290250866405244,0.3634237628717735,0.36271834579762413
pool_lda,0.3601947187346512,0.3580272895231416,0.3560416170834597
pool_logistic,0.3607645803220525,0.3599455103668652,0.3578888301622201
pool_selected,0.35945179817636197,0.359722795811887,0.35732887290499527
stack_global_C0.001,0.36134378517283955,0.36003457222039964,0.3583799640566305
stack_global_C0.01,0.36496145594071494,0.36424575810201576,0.36351352091926775
stack_global_C0.1,0.3529574554790964,0.35638307483153325,0.3552715289399229
stack_participant_C0.001,0.367134259140392,0.35459817362251944,0.3133456444931107
stack_participant_C0.01,0.36849746915535675,0.3559024309245645,0.32005346157293113
stack_participant_C0.1,0.3586205144031209,0.3503885860790242,0.32660481293908084
