family,scope,ba_macro,ba_global,macro_f1
BiLSTM,BiLSTM,0.34100326246330687,0.3308887004340493,0.3214781240466886
BiLSTM,repeat_current,0.34768777428281344,0.3306862592447047,0.31169441931236397
LSTM,LSTM,0.3332672144101466,0.32466178273528296,0.31269884288865557
LSTM,repeat_current,0.350504885086005,0.33613838615009445,0.3177186222592285
TCN,TCN,0.35290220520402626,0.3431708248994578,0.32934252780691714
TCN,repeat_current,0.34576827228441087,0.3351138042182343,0.320774624380669
