scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
all,20260908,0.3544737594381298,13524,25,0.35743961289582543,0.35621565606226196
all,20260909,0.3548028533931467,13524,25,0.3570488528149282,0.3557793568163181
current,20260908,0.34574802946381844,13524,25,0.34749923692189727,0.3473008900020265
current,20260909,0.34644151980276855,13524,25,0.34744592571951255,0.347205909792852
fixed_logistic,20260908,0.3535773502873767,13524,25,0.3529688175366085,0.3456030492869937
fixed_logistic,20260909,0.3535773502873767,13524,25,0.3529688175366085,0.3456030492869937
temporal,20260908,0.3517445415502791,13524,25,0.3544387672332141,0.3527715702100283
temporal,20260909,0.3520736355052959,13524,25,0.3540480071523169,0.35232517880108166
