model_id,scope,seed,fold,participant,score
fold3__temporal__20260909,temporal,20260909,3,P18,0.31210191082802546
fold3__temporal__20260909,temporal,20260909,3,P27,0.4662058371735791
fold3__temporal__20260909,temporal,20260909,3,P36,0.43245156050585914
fold3__temporal__20260909,temporal,20260909,3,P46,0.25
fold3__temporal__20260909,temporal,20260909,3,P8,0.34364699627857526
fold3__current__20260908,current,20260908,3,P18,0.31634819532908703
fold3__current__20260908,current,20260908,3,P27,0.4165060745705907
fold3__current__20260908,current,20260908,3,P36,0.42459682097691154
fold3__current__20260908,current,20260908,3,P46,0.27040816326530615
fold3__current__20260908,current,20260908,3,P8,0.31820460241512877
fold3__current__20260909,current,20260909,3,P18,0.31634819532908703
fold3__current__20260909,current,20260909,3,P27,0.4165060745705907
fold3__current__20260909,current,20260909,3,P36,0.42459682097691154
fold3__current__20260909,current,20260909,3,P46,0.27040816326530615
fold3__current__20260909,current,20260909,3,P8,0.31820460241512877
fold3__fixed_logistic__20260908,fixed_logistic,20260908,3,P18,0.3036093418259023
fold3__fixed_logistic__20260908,fixed_logistic,20260908,3,P27,0.4295210166177908
fold3__fixed_logistic__20260908,fixed_logistic,20260908,3,P36,0.42458521870286575
fold3__fixed_logistic__20260908,fixed_logistic,20260908,3,P46,0.28316326530612246
fold3__fixed_logistic__20260908,fixed_logistic,20260908,3,P8,0.33256626414521157
fold3__fixed_logistic__20260909,fixed_logistic,20260909,3,P18,0.3036093418259023
fold3__fixed_logistic__20260909,fixed_logistic,20260909,3,P27,0.4295210166177908
fold3__fixed_logistic__20260909,fixed_logistic,20260909,3,P36,0.42458521870286575
fold3__fixed_logistic__20260909,fixed_logistic,20260909,3,P46,0.28316326530612246
fold3__fixed_logistic__20260909,fixed_logistic,20260909,3,P8,0.33256626414521157
fold4__all__20260908,all,20260908,4,P20,0.38412449619346173
fold4__all__20260908,all,20260908,4,P3,0.34989648033126297
fold4__all__20260908,all,20260908,4,P33,0.31621373695677096
fold4__all__20260908,all,20260908,4,P4,0.29193899782135074
fold4__all__20260908,all,20260908,4,P9,0.3953445705767687
fold4__all__20260909,all,20260909,4,P20,0.38412449619346173
fold4__all__20260909,all,20260909,4,P3,0.34989648033126297
fold4__all__20260909,all,20260909,4,P33,0.31621373695677096
fold4__all__20260909,all,20260909,4,P4,0.29193899782135074
fold4__all__20260909,all,20260909,4,P9,0.3953445705767687
fold4__temporal__20260908,temporal,20260908,4,P20,0.320899885555058
fold4__temporal__20260908,temporal,20260908,4,P3,0.34782608695652173
fold4__temporal__20260908,temporal,20260908,4,P33,0.3046210296984291
fold4__temporal__20260908,temporal,20260908,4,P4,0.3398692810457516
fold4__temporal__20260908,temporal,20260908,4,P9,0.35607155142758856
fold4__temporal__20260909,temporal,20260909,4,P20,0.320899885555058
fold4__temporal__20260909,temporal,20260909,4,P3,0.34782608695652173
fold4__temporal__20260909,temporal,20260909,4,P33,0.3046210296984291
fold4__temporal__20260909,temporal,20260909,4,P4,0.3398692810457516
fold4__temporal__20260909,temporal,20260909,4,P9,0.35607155142758856
fold4__current__20260908,current,20260908,4,P20,0.38412449619346173
fold4__current__20260908,current,20260908,4,P3,0.34989648033126297
fold4__current__20260908,current,20260908,4,P33,0.31621373695677096
fold4__current__20260908,current,20260908,4,P4,0.29193899782135074
fold4__current__20260908,current,20260908,4,P9,0.3953445705767687
fold4__current__20260909,current,20260909,4,P20,0.38412449619346173
fold4__current__20260909,current,20260909,4,P3,0.34989648033126297
fold4__current__20260909,current,20260909,4,P33,0.31621373695677096
fold4__current__20260909,current,20260909,4,P4,0.29193899782135074
fold4__current__20260909,current,20260909,4,P9,0.3953445705767687
fold4__fixed_logistic__20260908,fixed_logistic,20260908,4,P20,0.3786510424441459
fold4__fixed_logistic__20260908,fixed_logistic,20260908,4,P3,0.3498964803312629
fold4__fixed_logistic__20260908,fixed_logistic,20260908,4,P33,0.3262355234491457
fold4__fixed_logistic__20260908,fixed_logistic,20260908,4,P4,0.3202614379084967
fold4__fixed_logistic__20260908,fixed_logistic,20260908,4,P9,0.3753468638917556
fold4__fixed_logistic__20260909,fixed_logistic,20260909,4,P20,0.3786510424441459
fold4__fixed_logistic__20260909,fixed_logistic,20260909,4,P3,0.3498964803312629
fold4__fixed_logistic__20260909,fixed_logistic,20260909,4,P33,0.3262355234491457
fold4__fixed_logistic__20260909,fixed_logistic,20260909,4,P4,0.3202614379084967
fold4__fixed_logistic__20260909,fixed_logistic,20260909,4,P9,0.3753468638917556
fold5__all__20260908,all,20260908,5,P13,0.35411295273173726
fold5__all__20260908,all,20260908,5,P21,0.3732248377409668
fold5__all__20260908,all,20260908,5,P26,0.3466666666666667
fold5__all__20260908,all,20260908,5,P34,0.26175687666370895
fold5__all__20260908,all,20260908,5,P44,0.38969955363397984
fold5__all__20260909,all,20260909,5,P13,0.34862901575608757
fold5__all__20260909,all,20260909,5,P21,0.36964060835028584
fold5__all__20260909,all,20260909,5,P26,0.3523809523809524
fold5__all__20260909,all,20260909,5,P34,0.2824755989352262
fold5__all__20260909,all,20260909,5,P44,0.3805620608899298
fold5__temporal__20260908,temporal,20260908,5,P13,0.35411295273173726
fold5__temporal__20260908,temporal,20260908,5,P21,0.3732248377409668
