fold,inner,representation,estimator,smoothing,score,evaluation_participants,fit_participants
1,1,segment_8,logistic_0.01,8,0.34177357750945375,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_0.1,1,0.3586584573676504,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_0.1,4,0.35671218949441147,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_0.1,8,0.3484068001749926,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_1,1,0.3617381060054628,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_1,4,0.3582083509906849,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,logistic_1,8,0.35063508088447704,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,hgb,1,0.35816781697712524,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,hgb,4,0.3543557431555745,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,hgb,8,0.3568875361381985,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,rbf,1,0.355992144593968,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,rbf,4,0.3617398286138231,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_8,rbf,8,0.3665031470038441,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,logistic_0.01,1,0.3610134658773298,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,logistic_0.01,4,0.36584874706677967,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,logistic_0.01,8,0.36045206617056186,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,logistic_0.1,1,0.36341941143148576,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,logistic_0.1,4,0.36908481660529047,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,logistic_0.1,8,0.36475307761100695,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,logistic_1,1,0.35986475005543994,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,logistic_1,4,0.3683684957687003,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,logistic_1,8,0.369944029240539,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
