scope,macro_score,balanced_accuracy,macro_f1
all,0.35463830641563826,0.3572442328553768,0.35599750643929007
current,0.3460947746332935,0.3474725813207049,0.34725339989743925
fixed_logistic,0.3535773502873767,0.3529688175366085,0.3456030492869937
temporal,0.3519090885277875,0.3542433871927655,0.352548374505555
