scope,reference,mean_delta,ci_low,ci_high,improved,tied
all,geometric_0.3651,-0.0005424675777654575,-0.018221752382827753,0.017031445280507256,16,0
rank,geometric_0.3651,-0.0024830610427904144,-0.026983716158500256,0.026204591145261684,11,0
center,geometric_0.3651,0.0021131669489870965,-0.017193893869537704,0.021066237117473248,17,0
all,mixture_0.3716,-0.007061194037985845,-0.023116224475382623,0.009085697096047257,10,1
rank,mixture_0.3716,-0.009001787503010802,-0.03194811567890062,0.014809389334314882,10,0
center,mixture_0.3716,-0.004405559511233292,-0.021675716687784848,0.013517843516701966,11,1
