fold,inner,candidate_id,family,window,low,high,score,strength,scale
1,2,center_w1_s0.25_scaleFalse,center,1,,,0.3611658997217562,0.25,False
1,2,center_w1_s0.25_scaleTrue,center,1,,,0.3673767703106338,0.25,True
1,2,center_w1_s0.5_scaleFalse,center,1,,,0.3620905175281141,0.5,False
1,2,center_w1_s0.5_scaleTrue,center,1,,,0.3619023387101169,0.5,True
1,2,center_w1_s1.0_scaleFalse,center,1,,,0.35907934788321255,1.0,False
1,2,center_w1_s1.0_scaleTrue,center,1,,,0.3593888096096322,1.0,True
1,2,rank_w8_l0.200_h0.600,rank,8,0.2,0.6,0.3460917102459721,,
1,2,rank_w8_l0.200_h0.667,rank,8,0.2,0.6666666666666666,0.3450438203204843,,
1,2,rank_w8_l0.200_h0.800,rank,8,0.2,0.8,0.35412466190552416,,
1,2,rank_w8_l0.333_h0.600,rank,8,0.3333333333333333,0.6,0.3552453905358815,,
1,2,rank_w8_l0.333_h0.667,rank,8,0.3333333333333333,0.6666666666666666,0.3541975006103936,,
1,2,rank_w8_l0.333_h0.800,rank,8,0.3333333333333333,0.8,0.3632783421954335,,
1,2,rank_w8_l0.400_h0.600,rank,8,0.4,0.6,0.3591078739211846,,
1,2,rank_w8_l0.400_h0.667,rank,8,0.4,0.6666666666666666,0.3580599839956968,,
1,2,rank_w8_l0.400_h0.800,rank,8,0.4,0.8,0.36714082558073663,,
1,2,center_w8_s0.25_scaleFalse,center,8,,,0.35475235602459426,0.25,False
1,2,center_w8_s0.25_scaleTrue,center,8,,,0.36529689760216894,0.25,True
1,2,center_w8_s0.5_scaleFalse,center,8,,,0.35668662198413664,0.5,False
1,2,center_w8_s0.5_scaleTrue,center,8,,,0.35679459042719003,0.5,True
1,2,center_w8_s1.0_scaleFalse,center,8,,,0.3703481836828282,1.0,False
1,2,center_w8_s1.0_scaleTrue,center,8,,,0.36387995180655064,1.0,True
1,2,rank_w32_l0.200_h0.600,rank,32,0.2,0.6,0.34728803481715464,,
1,2,rank_w32_l0.200_h0.667,rank,32,0.2,0.6666666666666666,0.34909454814506663,,
1,2,rank_w32_l0.200_h0.800,rank,32,0.2,0.8,0.36024740199878774,,
1,2,rank_w32_l0.333_h0.600,rank,32,0.3333333333333333,0.6,0.349631450514768,,
1,2,rank_w32_l0.333_h0.667,rank,32,0.3333333333333333,0.6666666666666666,0.35143796384268,,
1,2,rank_w32_l0.333_h0.800,rank,32,0.3333333333333333,0.8,0.3625908176964011,,
1,2,rank_w32_l0.400_h0.600,rank,32,0.4,0.6,0.35478553977339694,,
1,2,rank_w32_l0.400_h0.667,rank,32,0.4,0.6666666666666666,0.35659205310130904,,
1,2,rank_w32_l0.400_h0.800,rank,32,0.4,0.8,0.3677449069550301,,
1,2,center_w32_s0.25_scaleFalse,center,32,,,0.3530417892955198,0.25,False
1,2,center_w32_s0.25_scaleTrue,center,32,,,0.36587173946910256,0.25,True
1,2,center_w32_s0.5_scaleFalse,center,32,,,0.3541284755594579,0.5,False
1,2,center_w32_s0.5_scaleTrue,center,32,,,0.3672079497664742,0.5,True
1,2,center_w32_s1.0_scaleFalse,center,32,,,0.36331722373031994,1.0,False
1,2,center_w32_s1.0_scaleTrue,center,32,,,0.35877470294353386,1.0,True
1,2,rank_w64_l0.200_h0.600,rank,64,0.2,0.6,0.34728803481715464,,
1,2,rank_w64_l0.200_h0.667,rank,64,0.2,0.6666666666666666,0.34909454814506663,,
1,2,rank_w64_l0.200_h0.800,rank,64,0.2,0.8,0.36024740199878774,,
1,2,rank_w64_l0.333_h0.600,rank,64,0.3333333333333333,0.6,0.35044777704538027,,
1,2,rank_w64_l0.333_h0.667,rank,64,0.3333333333333333,0.6666666666666666,0.35225429037329226,,
1,2,rank_w64_l0.333_h0.800,rank,64,0.3333333333333333,0.8,0.36340714422701337,,
1,2,rank_w64_l0.400_h0.600,rank,64,0.4,0.6,0.35506401373608143,,
1,2,rank_w64_l0.400_h0.667,rank,64,0.4,0.6666666666666666,0.3568705270639935,,
1,2,rank_w64_l0.400_h0.800,rank,64,0.4,0.8,0.3680233809177146,,
1,2,center_w64_s0.25_scaleFalse,center,64,,,0.35276968045198237,0.25,False
1,2,center_w64_s0.25_scaleTrue,center,64,,,0.36586373626782204,0.25,True
1,2,center_w64_s0.5_scaleFalse,center,64,,,0.3544005844029954,0.5,False
1,2,center_w64_s0.5_scaleTrue,center,64,,,0.3672079497664742,0.5,True
1,2,center_w64_s1.0_scaleFalse,center,64,,,0.36331722373031994,1.0,False
