scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
all,20260911,0.3645430532442466,13524,25,0.36370914636007656,0.351976598643797
center,20260911,0.3671986877709992,13524,25,0.36540801826556635,0.3441634211223416
rank,20260911,0.3626024597792217,13524,25,0.3576921454311473,0.35578528426608996
