task,kind,model,feature,importance,bootstrap_low,bootstrap_high,repeat_sd,positive_participants,participants,pooled_importance,shifted_fraction,metric
attention_primary,classification,logistic,eeg_rms_uv,-0.0017376124454349367,-0.006616801430257557,0.0025375286782057865,0.0014857805276727676,4,8,-0.0010312571902462541,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,eeg_std_uv,-0.002607013741171931,-0.01541568016956536,0.00804561695766454,0.001379591488193118,4,8,-0.0024528361228040307,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,eeg_peak_to_peak_uv,0.00429261176604649,-0.0035464611474780167,0.011091389559250351,0.002599977879871902,6,8,0.005022385288500952,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,eeg_delta_relative,0.00011634718010183854,-0.007512331493321746,0.00995267673742857,0.0017412421410180822,3,8,-0.0014112332544854555,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,eeg_theta_relative,0.00026860473939129513,-0.009749393036106287,0.012568117826947861,0.003325728696774376,4,8,-0.001991501646204291,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,eeg_alpha_relative,-0.002641510928558029,-0.00744549481395867,0.0023509355955483244,0.0033532146966456116,3,8,-0.003062637976859894,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,eeg_beta_relative,0.0032813611993959125,-0.004461205355230161,0.01375282174285107,0.00293029907701996,5,8,0.00129149927359547,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,eeg_gamma_relative,0.0006877270478457065,-0.004707290917825175,0.006401957202597886,0.00304841973009604,4,8,0.0004329459359693477,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,eeg_line_noise_ratio,-0.00047868135400714034,-0.007348379965383986,0.006695987126678283,0.004127093196462308,4,8,-0.001764131230650129,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,gsr_mean_z,-0.0009067357651431608,-0.004699213988746974,0.002635514291312075,0.0015088835298101729,5,8,-0.0006207958612873543,0.95002145002145,delta_balanced_accuracy
